,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,horsepower_binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
0,3,122.0,alfa-romero,two,convertible,rwd,front,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,13495,Low,False,True,True,False
1,3,122.0,alfa-romero,two,convertible,rwd,front,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,16500,Low,False,True,True,False
2,1,122.0,alfa-romero,two,hatchback,rwd,front,94.5,0.8226814031715521,0.9097222222222222,0.8762541806020067,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,19,26,16500,Medium,False,True,True,False
3,2,164.0,audi,four,sedan,fwd,front,99.8,0.8486304661220567,0.9194444444444445,0.9080267558528428,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,13950,Low,False,True,True,False
4,2,164.0,audi,four,sedan,4wd,front,99.4,0.8486304661220567,0.9222222222222223,0.9080267558528428,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450,Low,False,True,True,False
5,2,122.0,audi,two,sedan,fwd,front,99.8,0.8519942335415667,0.9208333333333333,0.8879598662207359,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,15250,Low,False,True,True,False
6,1,158.0,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.9916666666666667,0.931438127090301,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,17710,Low,False,True,True,False
7,1,122.0,audi,four,wagon,fwd,front,105.8,0.9259971167707832,0.9916666666666667,0.931438127090301,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,18920,Low,False,True,True,False
8,1,158.0,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.9916666666666667,0.9347826086956522,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,17,20,23875,Medium,False,True,False,True
10,2,192.0,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430,Low,False,True,True,False
11,0,192.0,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16925,Low,False,True,True,False
12,0,188.0,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,20970,Medium,False,True,True,False
13,0,188.0,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,21105,Medium,False,True,True,False
14,1,122.0,bmw,four,sedan,rwd,front,103.5,0.9082172032676598,0.9291666666666667,0.931438127090301,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,20,25,24565,Medium,False,True,True,False
15,0,122.0,bmw,four,sedan,rwd,front,103.5,0.9082172032676598,0.9291666666666667,0.931438127090301,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,30760,Medium,False,True,True,False
16,0,122.0,bmw,two,sedan,rwd,front,103.5,0.9312830370014417,0.9430555555555556,0.8979933110367894,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,41315,Medium,False,True,True,False
17,0,122.0,bmw,four,sedan,rwd,front,110.0,0.9466602594906295,0.9847222222222223,0.9414715719063546,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15,20,36880,Medium,False,True,True,False
18,2,121.0,chevrolet,two,hatchback,fwd,front,88.4,0.6780394041326285,0.8374999999999999,0.8896321070234114,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,47,53,5151,Low,False,True,True,False
19,1,98.0,chevrolet,two,hatchback,fwd,front,94.5,0.7491590581451226,0.8833333333333333,0.8695652173913044,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6295,Low,False,True,True,False
20,0,81.0,chevrolet,four,sedan,fwd,front,94.5,0.7630946660259491,0.8833333333333333,0.8695652173913044,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6575,Low,False,True,True,False
21,1,118.0,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,37,41,5572,Low,False,True,True,False
22,1,118.0,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6377,Low,False,True,True,False
23,1,118.0,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,7957,Low,False,True,False,True
24,1,148.0,dodge,four,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6229,Low,False,True,True,False
25,1,148.0,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6692,Low,False,True,True,False
26,1,148.0,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,7609,Low,False,True,True,False
27,1,148.0,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,8558,Low,False,True,False,True
28,-1,110.0,dodge,four,wagon,fwd,front,103.3,0.8390197020663143,0.8972222222222221,1.0,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,24,30,8921,Low,False,True,True,False
29,3,145.0,dodge,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2811,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,19,24,12964,Medium,False,True,False,True
30,2,137.0,honda,two,hatchback,fwd,front,86.6,0.6948582412301778,0.8875,0.8494983277591973,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,49,54,6479,Low,False,True,True,False
31,2,137.0,honda,two,hatchback,fwd,front,86.6,0.6948582412301778,0.8875,0.8494983277591973,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,31,38,6855,Low,False,True,True,False
32,1,101.0,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,38,42,5399,Low,False,True,True,False
33,1,101.0,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,6529,Low,False,True,True,False
34,1,101.0,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7129,Low,False,True,True,False
35,0,110.0,honda,four,sedan,fwd,front,96.5,0.7851994233541567,0.8888888888888888,0.911371237458194,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7295,Low,False,True,True,False
36,0,78.0,honda,four,wagon,fwd,front,96.5,0.754925516578568,0.8875,0.9749163879598662,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,30,34,7295,Low,False,True,True,False
37,0,106.0,honda,two,hatchback,fwd,front,96.5,0.8049014896684287,0.9055555555555556,0.8913043478260869,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,7895,Low,False,True,True,False
38,0,106.0,honda,two,hatchback,fwd,front,96.5,0.8049014896684287,0.9055555555555556,0.8913043478260869,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,9095,Low,False,True,True,False
39,0,85.0,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.9055555555555556,0.9046822742474917,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,8845,Low,False,True,True,False
40,0,85.0,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.8680555555555556,0.9046822742474917,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,10295,Low,False,True,True,False
41,0,85.0,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.9055555555555556,0.9046822742474917,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,24,28,12945,Low,False,True,True,False
42,1,107.0,honda,two,sedan,fwd,front,96.5,0.8125901009130225,0.9166666666666666,0.8528428093645485,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,25,31,10345,Low,False,True,True,False
43,0,122.0,isuzu,four,sedan,rwd,front,94.3,0.8202787121576165,0.8583333333333333,0.8946488294314382,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,24,29,6785,Low,False,True,True,False
46,2,122.0,isuzu,two,hatchback,rwd,front,96.0,0.8294089380105718,0.9055555555555556,0.8595317725752508,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,24,29,11048,Low,False,True,True,False
47,0,145.0,jaguar,four,sedan,rwd,front,113.0,0.9591542527630946,0.9666666666666666,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,32250,Medium,False,True,True,False
48,0,122.0,jaguar,four,sedan,rwd,front,113.0,0.9591542527630946,0.9666666666666666,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,35550,Medium,False,True,True,False
49,0,122.0,jaguar,two,sedan,rwd,front,102.0,0.921191734742912,0.9805555555555555,0.7993311036789298,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,13,17,36000,High,False,True,True,False
50,1,104.0,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,30,31,5195,Low,False,True,True,False
51,1,104.0,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6095,Low,False,True,True,False
52,1,104.0,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6795,Low,False,True,True,False
53,1,113.0,mazda,four,sedan,fwd,front,93.1,0.8015377222489188,0.8916666666666667,0.9046822742474917,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6695,Low,False,True,True,False
54,1,113.0,mazda,four,sedan,fwd,front,93.1,0.8015377222489188,0.8916666666666667,0.9046822742474917,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,31,38,7395,Low,False,True,True,False
55,3,150.0,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2380,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,17,23,10945,Low,False,True,True,False
56,3,150.0,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2380,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,17,23,11845,Low,False,True,True,False
57,3,150.0,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2385,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,17,23,13645,Low,False,True,True,False
58,3,150.0,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2500,rotor,two,80,mpfi,3.3297512437810943,3.255422885572139,9.4,135.0,6000.0,16,23,15645,Medium,False,True,True,False
59,1,129.0,mazda,two,hatchback,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8845,Low,False,True,True,False
60,0,115.0,mazda,four,sedan,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8495,Low,False,True,True,False
61,1,129.0,mazda,two,hatchback,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10595,Low,False,True,True,False
62,0,115.0,mazda,four,sedan,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10245,Low,False,True,True,False
63,0,122.0,mazda,four,sedan,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,36,42,10795,Low,True,False,True,False
64,0,115.0,mazda,four,hatchback,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,11245,Low,False,True,True,False
65,0,118.0,mazda,four,sedan,rwd,front,104.9,0.8409418548774628,0.9180555555555555,0.9096989966555185,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,19,27,18280,Medium,False,True,True,False
66,0,122.0,mazda,four,sedan,rwd,front,104.9,0.8409418548774628,0.9180555555555555,0.9096989966555185,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,31,39,18344,Low,True,False,True,False
67,-1,93.0,mercedes-benz,four,sedan,rwd,front,110.0,0.9173474291206152,0.9763888888888889,0.9448160535117057,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,25552,Medium,True,False,False,True
68,-1,93.0,mercedes-benz,four,wagon,rwd,front,110.0,0.9173474291206152,0.9763888888888889,0.9816053511705687,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28248,Medium,True,False,False,True
69,0,93.0,mercedes-benz,two,hardtop,rwd,front,106.7,0.9010091302258529,0.9763888888888889,0.9180602006688964,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28176,Medium,True,False,False,True
70,-1,93.0,mercedes-benz,four,sedan,rwd,front,115.6,0.9735703988467083,0.9958333333333333,0.9414715719063546,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,31600,Medium,True,False,False,True
71,-1,122.0,mercedes-benz,four,sedan,rwd,front,115.6,0.9735703988467083,0.9958333333333333,0.9448160535117057,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,34184,Medium,False,True,True,False
72,3,142.0,mercedes-benz,two,convertible,rwd,front,96.6,0.8664103796251803,0.9791666666666666,0.8494983277591973,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,35056,Medium,False,True,True,False
73,0,122.0,mercedes-benz,four,sedan,rwd,front,120.9,1.0,0.9958333333333333,0.948160535117057,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,40960,Medium,False,True,True,False
74,1,122.0,mercedes-benz,two,hardtop,rwd,front,112.0,0.9572320999519461,1.0,0.9264214046822743,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,45400,Medium,False,True,True,False
75,1,122.0,mercury,two,hatchback,rwd,front,102.7,0.857280153772225,0.9444444444444444,0.9163879598662207,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,19,24,16503,Medium,False,True,False,True
76,2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,37,41,5389,Low,False,True,True,False
77,2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6189,Low,False,True,True,False
78,2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6669,Low,False,True,True,False
79,1,161.0,mitsubishi,two,hatchback,fwd,front,93.0,0.7558865929841423,0.8861111111111111,0.8494983277591973,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7689,Low,False,True,False,True
80,3,153.0,mitsubishi,two,hatchback,fwd,front,96.3,0.8313310908217203,0.9083333333333334,0.8260869565217391,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9959,Low,False,True,False,True
81,3,153.0,mitsubishi,two,hatchback,fwd,front,96.3,0.8313310908217203,0.9083333333333334,0.8260869565217391,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8499,Low,False,True,True,False
82,3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,19,24,12629,Medium,False,True,False,True
83,3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14869,Medium,False,True,False,True
84,3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14489,Medium,False,True,False,True
85,1,125.0,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,6989,Low,False,True,True,False
86,1,125.0,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8189,Low,False,True,True,False
87,1,125.0,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279,Low,False,True,False,True
88,-1,137.0,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279,Low,False,True,True,False
89,1,128.0,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,5499,Low,False,True,True,False
90,1,128.0,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,45,50,7099,Low,True,False,True,False
91,1,128.0,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6649,Low,False,True,True,False
92,1,122.0,nissan,four,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6849,Low,False,True,True,False
93,1,103.0,nissan,four,wagon,fwd,front,94.5,0.8178760211436809,0.8861111111111111,0.8946488294314382,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7349,Low,False,True,True,False
94,1,128.0,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7299,Low,False,True,True,False
95,1,128.0,nissan,two,hatchback,fwd,front,94.5,0.7957712638154734,0.8861111111111111,0.8913043478260869,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7799,Low,False,True,True,False
96,1,122.0,nissan,four,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7499,Low,False,True,True,False
97,1,103.0,nissan,four,wagon,fwd,front,94.5,0.8178760211436809,0.8861111111111111,0.8946488294314382,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7999,Low,False,True,True,False
98,2,168.0,nissan,two,hardtop,fwd,front,95.1,0.7803940413262855,0.8861111111111111,0.8913043478260869,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,8249,Low,False,True,True,False
99,0,106.0,nissan,four,hatchback,fwd,front,97.2,0.8332532436328689,0.9055555555555556,0.9147157190635452,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,8949,Low,False,True,True,False
100,0,106.0,nissan,four,sedan,fwd,front,97.2,0.8332532436328689,0.9055555555555556,0.9147157190635452,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,9549,Low,False,True,True,False
101,0,128.0,nissan,four,sedan,fwd,front,100.4,0.8731379144641999,0.9236111111111112,0.9214046822742475,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,17,22,13499,Medium,False,True,True,False
